caminho_atual;nome_atual;nome_limpo;caminho_novo;contrato;status_validacao;sha_antes;sha_depois;status;erro
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2018-00264_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00264_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-00256_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00256_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2018-00257_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00257_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2019-00024_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00024_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01377_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-01377_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-01377_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01377_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00225_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2019-00225_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2019-00225_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00225_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00571_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00571_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00571_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00571_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00245_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00245_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00245_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00245_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00010_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00010_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00010_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00010_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00006_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00006_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00006_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00006_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00013_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00013_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00013_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00013_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00055_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00055_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00055_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00055_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00025_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-00025_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-00025_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00025_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2019-01393_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-01393_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00679_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00679_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00679_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00679_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01094_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01094_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01094_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01094_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01095_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01095_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01095_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01095_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00090_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00090_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00090_CT-001.2011_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00090_CT-001.2011_Ordinario.pdf;001/2011;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000801_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000801_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000801_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000801_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000802_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2021-0000802_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2021-0000802_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000802_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00759_CT-021.2014-SUSPEITO_Ordinario.pdf;NE-2015-00759_CT-021.2014-SUSPEITO_Ordinario.pdf;NE-2015-00759_CT-021.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00759_CT-021.2014_Ordinario.pdf;021/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00760_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00760_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00760_CT-026.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00760_CT-026.2014_Ordinario.pdf;026/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000993_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000993_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000993_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000993_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0000027_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0000027_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0000027_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0000027_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001031_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001031_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001031_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001031_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00627_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00627_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00627_CT-001.2011_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00627_CT-001.2011_Ordinario.pdf;001/2011;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001731_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001731_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001731_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001731_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00547_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00547_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00547_CT-026.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00547_CT-026.2014_Ordinario.pdf;026/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2023-0001078_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2023-0001078_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2023-0001078_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2023-0001078_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2023-0001722_CT-078.2022-SUSPEITO_Ordinario.pdf;NE-2023-0001722_CT-078.2022-SUSPEITO_Ordinario.pdf;NE-2023-0001722_CT-078.2022_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2023-0001722_CT-078.2022_Ordinario.pdf;078/2022;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00055_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00055_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00055_CT-001.2011_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00055_CT-001.2011_Ordinario.pdf;001/2011;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00875_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2015-00875_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2015-00875_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00875_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00994_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2015-00994_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2015-00994_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00994_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00874_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2015-00874_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2015-00874_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00874_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00996_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2015-00996_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2015-00996_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00996_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00314_CT-024.2014-SUSPEITO_Ordinario.pdf;NE-2016-00314_CT-024.2014-SUSPEITO_Ordinario.pdf;NE-2016-00314_CT-024.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00314_CT-024.2014_Ordinario.pdf;024/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00429_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00429_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00429_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00429_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00501_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2016-00501_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2016-00501_CT-001.2011_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00501_CT-001.2011_Ordinario.pdf;001/2011;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00427_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2016-00427_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2016-00427_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00427_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00658_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2016-00658_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2016-00658_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00658_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00656_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00656_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00656_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00656_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00390_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2016-00390_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2016-00390_CT-001.2011_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00390_CT-001.2011_Ordinario.pdf;001/2011;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00834_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00834_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00834_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00834_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00812_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00812_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2016-00812_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00812_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00811_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2016-00811_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2016-00811_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2016-00811_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
